device_id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z,lux,lin_x,lin_y,lin_z,mag_x,mag_y,mag_z,battery,battery_status,screen_state,network_type,pressure,proximity,latitude,longitude,top_app,audio_isWiredHeadsetOn,audio_isBluetoothHeadsetConnected,audio_isBluetoothA2dpOutput,audio_isSpeakerOn,audio_ringerMode,audio_mediaVolume,audio_connectedBluetoothDevices,unlock,notif_pkg,notif_removed,screen_check,notif_count
726ad5d6e9bc2a42,2025-06-18 00:30:26,-0.8135597,6.6329045,6.949355,0.019394957,-0.0070249448,0.04978548,0,0,0,0,0,0,0,-19.893751,-30.750002,-23.90625,,,,,0,,37.397264,126.9484031,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:30:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
726ad5d6e9bc2a42,2025-06-18 00:30:36,-3.0269206,6.5850477,6.4438715,0.008552107,-0.0018325944,-0.0035124724,-3.1843235,6.710449,6.403151,0,0.15233183,0.010962009,0.24015188,-3.1312501,-27.431252,-29.831251,,,,,1002.32056,,37.3972885,126.9484264,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:30:39,,,,,,,,,,,,,,,,,,,,,,,,,com.google.android.youtube,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:30:48,,,,,,,,,,,,,,,,,,,,,,,,,One UI 홈,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:30:46,4.5918264,7.259824,3.9218364,-0.17104214,0.6375901,0.62812173,3.9062696,6.709294,5.9913974,0,-0.16884375,0.5240011,-1.0349212,-28.687502,-25.7625,-23.53125,,,,,1002.3176,,37.3972768,126.9484065,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:30:53,,,,,,,,,,,,,,,,,,,android.intent.action.SCREEN_OFF,,,,,,,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:30:53,,,,,,,,,,,,,,,,,,,android.intent.action.SCREEN_ON,,,,,,,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:30:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
726ad5d6e9bc2a42,2025-06-18 00:30:56,0.99302137,4.321438,8.415557,-0.0030543238,-0.19349141,0.13148865,0.7838566,4.3242235,8.766816,1.0125,-0.08337957,0.08714199,-0.15738392,-17.400002,-18.862501,-41.193752,,,,,1002.32104,,37.3972823,126.9484197,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:06,,,,,,,,,,,,,,,,,,,android.intent.action.SCREEN_OFF,,,,,,,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:06,,,,,,,,,,,,,,,,,,,android.intent.action.SCREEN_ON,,,,,,,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:06,1.012164,5.0775695,8.142776,-0.01527162,-0.027947064,0.023365578,0.9328538,5.1106973,8.31751,0,-0.072687685,0.09349251,-0.07618618,-16.181252,-17.643751,-39.525,,,,,1002.3059,,37.3972847,126.9483863,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
726ad5d6e9bc2a42,2025-06-18 00:31:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
726ad5d6e9bc2a42,2025-06-18 00:31:12,,,,,,,,,,,,,,,,,,,,CELLULAR,,,,,,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
726ad5d6e9bc2a42,2025-06-18 00:31:16,1.2203395,6.02752,7.240681,-1.0370957,0.866359,-0.08185588,1.3767759,6.3349147,7.358243,3.9825,-0.31927252,-0.04115963,-0.4486456,-22.556252,-25.275002,-27.300001,,,,,1002.3242,,37.3972596,126.9483935,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:22,,,,,,,,,,,,,,,,,,,,WIFI,,,,,,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
726ad5d6e9bc2a42,2025-06-18 00:31:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
726ad5d6e9bc2a42,2025-06-18 00:31:25,3.225525,6.6305118,6.3194447,0.23441936,0.17562363,0.025198173,3.304896,6.831844,6.2107935,0,0.22374392,0.21603441,-0.7071538,-22.743752,-25.10625,-25.66875,,,,,1002.30273,,37.3972861,126.9484115,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:33,,,,,,,,,,,,,,,,,,,,,,,,,com.google.android.youtube,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:36,-2.481357,4.9722853,7.173682,0.4637991,0.9457714,0.035124727,-1.9386773,5.0087166,8.205161,0,-0.6499187,0.0005130768,0.3107171,-4.89375,-24.73125,-31.050001,,,,,1002.34375,,37.3972771,126.9484015,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:46,-0.11964113,-0.1052842,9.652647,-0.0004581486,0.0001527162,0,-0.052821647,-0.14406703,9.8054495,62.9775,-0.065706335,0.038182743,-0.03259182,29.98125,-18.075,-49.350002,,,,,1002.3457,,37.3972792,126.9483992,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:31:56,-0.11485548,-0.09092726,9.659825,0.0004581486,-0.0003054324,0.0001527162,-0.120587386,-0.106771514,9.805327,62.0325,0.001584664,-0.0010915697,-0.0048980713,29.812502,-17.643751,-49.7625,,,,,1002.3435,,37.3972686,126.9483842,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:32:06,-0.124426775,-0.10767702,9.657433,0.0004581486,0,0,-0.12162458,-0.10464079,9.805338,65.0025,0.0059940144,0.0107970685,-0.002401352,23.7,-19.1625,-47.193752,,,,,1002.3445,,37.3972725,126.9483826,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:32:16,-0.11964113,-0.10767702,9.678967,0,-0.0001527162,0.0001527162,-0.12248817,-0.09982725,9.805377,67.027504,-0.0019740984,0.004680209,-0.013085365,30.112501,-17.962502,-49.66875,,,,,1002.3508,,37.3972711,126.9484082,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:32:26,-0.13399807,-0.11246266,9.652647,0.0003054324,0.0003054324,-0.0001527162,-0.12114759,-0.1074407,9.805313,54.000004,-0.0009645596,0.0036478713,-0.0035600662,29.400002,-18.28125,-49.987503,,,,,1002.344,,37.3972753,126.9484018,,False,False,False,True,Silent,0,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:32:39,-0.11485548,-0.10289137,9.695718,0,0,0.0001527162,-0.1260094,-0.102896996,9.8053,62.9775,-0.0018827915,-0.0021748692,-0.003622055,15.50625,-4.2937503,-53.437504,,,,,1002.35547,,37.3972864,126.9484133,,False,True,True,True,Silent,8,Galaxy Buds Pro (ADD5),,,,,
726ad5d6e9bc2a42,2025-06-18 00:32:41,,,,,,,,,,,,,,,,,,,,,,,,,One UI 홈,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:32:43,,,,,,,,,,,,,,,,,,,,,,,,,com.google.android.youtube,,,,,,,,,,,,
726ad5d6e9bc2a42,2025-06-18 00:32:45,,,,,,,,,,,,,,,,,,,,,,,,,com.kakao.talk,,,,,,,,,,,,
